itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Paco Etxeberria,unibertsitateko irakasle,gizonezkoa,Beasain,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Etxeberria.JPG,1957-02-14T00:00:00Z
Paco Etxeberria,antropologo,gizonezkoa,Beasain,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Etxeberria.JPG,1957-02-14T00:00:00Z
Paco Etxeberria,zientzialari forentse,gizonezkoa,Beasain,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Etxeberria.JPG,1957-02-14T00:00:00Z
Juan Karlos Izagirre,mediku,gizonezkoa,Igeldo,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Karlos%20Izagirre%202011n.jpg,1963-01-01T00:00:00Z
Juan Karlos Izagirre,politikari,gizonezkoa,Igeldo,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Karlos%20Izagirre%202011n.jpg,1963-01-01T00:00:00Z
Mariasun Landa,idazle,emakumezkoa,Errenteria,http://commons.wikimedia.org/wiki/Special:FilePath/Mariasun%20Landa%20%28Natividad%20de%20la%20Puerta%20Rueda%29.jpg,1949-06-05T00:00:00Z
Mariasun Landa,katedradun,emakumezkoa,Errenteria,http://commons.wikimedia.org/wiki/Special:FilePath/Mariasun%20Landa%20%28Natividad%20de%20la%20Puerta%20Rueda%29.jpg,1949-06-05T00:00:00Z
Mariasun Landa,haur literatura idazle,emakumezkoa,Errenteria,http://commons.wikimedia.org/wiki/Special:FilePath/Mariasun%20Landa%20%28Natividad%20de%20la%20Puerta%20Rueda%29.jpg,1949-06-05T00:00:00Z
Ramon Labaien,politikari,gizonezkoa,Tolosa,,1928-08-31T00:00:00Z
Ramon Labaien,gerente general,gizonezkoa,Tolosa,,1928-08-31T00:00:00Z
Fernando Sasiain,politikari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/El%20alcalde%20de%20San%20Sebasti%C3%A1n%20Fernando%20Sasia%C3%ADn%2C%20encabezando%20una%20manifestaci%C3%B3n%20en%201935.jpg,1894-06-18T00:00:00Z
Arturo Kanpion,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Arturo Kanpion,abokatu,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Arturo Kanpion,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Arturo Kanpion,hizkuntzalari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/ArturoCampi%C3%B3n.jpg,1854-05-07T00:00:00Z
Karlos Santamaria,idazle,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Aitona.jpg,1909-12-25T00:00:00Z
Karlos Santamaria,matematikari,gizonezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Aitona.jpg,1909-12-25T00:00:00Z
Joxe Azurmendi,idazle,gizonezkoa,Zegama,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Azurmendi.jpg,1941-03-19T00:00:00Z
Joxe Azurmendi,poeta,gizonezkoa,Zegama,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Azurmendi.jpg,1941-03-19T00:00:00Z
Joxe Azurmendi,autore,gizonezkoa,Zegama,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Azurmendi.jpg,1941-03-19T00:00:00Z
Joxe Azurmendi,unibertsitateko irakasle,gizonezkoa,Zegama,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Azurmendi.jpg,1941-03-19T00:00:00Z
Joxe Azurmendi,filosofo,gizonezkoa,Zegama,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Azurmendi.jpg,1941-03-19T00:00:00Z
Aita Mari,Itsastar,gizonezkoa,Zumaia,http://commons.wikimedia.org/wiki/Special:FilePath/Mari%20eskultura%20Donostia.JPG,1809-03-18T00:00:00Z
Aita Mari,Arrantzale,gizonezkoa,Zumaia,http://commons.wikimedia.org/wiki/Special:FilePath/Mari%20eskultura%20Donostia.JPG,1809-03-18T00:00:00Z
Aita Mari,Itsastar,gizonezkoa,Zumaia,http://commons.wikimedia.org/wiki/Special:FilePath/Aita%20Mari%2010.jpg,1809-03-18T00:00:00Z
Aita Mari,Arrantzale,gizonezkoa,Zumaia,http://commons.wikimedia.org/wiki/Special:FilePath/Aita%20Mari%2010.jpg,1809-03-18T00:00:00Z
Aita Mari,Itsastar,gizonezkoa,Zumaia,http://commons.wikimedia.org/wiki/Special:FilePath/Aita%20Mari%2011.jpg,1809-03-18T00:00:00Z
Aita Mari,Arrantzale,gizonezkoa,Zumaia,http://commons.wikimedia.org/wiki/Special:FilePath/Aita%20Mari%2011.jpg,1809-03-18T00:00:00Z
Miren Azkarate,idazle,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Bb%2020190405768051Bb%2020190405768051%2010.jpg,1955-11-27T00:00:00Z
Miren Azkarate,politikari,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Bb%2020190405768051Bb%2020190405768051%2010.jpg,1955-11-27T00:00:00Z
Miren Azkarate,unibertsitateko irakasle,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Bb%2020190405768051Bb%2020190405768051%2010.jpg,1955-11-27T00:00:00Z
Miren Azkarate,filologo,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Bb%2020190405768051Bb%2020190405768051%2010.jpg,1955-11-27T00:00:00Z
Miren Azkarate,hizkuntzalari,emakumezkoa,Donostia,http://commons.wikimedia.org/wiki/Special:FilePath/Bb%2020190405768051Bb%2020190405768051%2010.jpg,1955-11-27T00:00:00Z
Gregorio Ordóñez,politikari,gizonezkoa,Caracas,,1958-07-21T00:00:00Z
Koldo Gorostiaga,abokatu,gizonezkoa,Bilbo,,1940-05-30T00:00:00Z
Koldo Gorostiaga,politikari,gizonezkoa,Bilbo,,1940-05-30T00:00:00Z
Koldo Gorostiaga,katedradun,gizonezkoa,Bilbo,,1940-05-30T00:00:00Z
Koldo Gorostiaga,ekonomialari,gizonezkoa,Bilbo,,1940-05-30T00:00:00Z
Mikel Erentxun,musikagile,gizonezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Erentxun%202007.10.13%20002.jpg,1965-02-23T00:00:00Z
Mikel Erentxun,abeslari,gizonezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Erentxun%202007.10.13%20002.jpg,1965-02-23T00:00:00Z
Mikel Erentxun,disko-ekoizle,gizonezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Erentxun%202007.10.13%20002.jpg,1965-02-23T00:00:00Z
Mikel Erentxun,kantugile,gizonezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Erentxun%202007.10.13%20002.jpg,1965-02-23T00:00:00Z
Mikel Erentxun,gitarra-jotzaile,gizonezkoa,Caracas,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Erentxun%202007.10.13%20002.jpg,1965-02-23T00:00:00Z
Secundino Esnaola,musikagile,gizonezkoa,Zumarraga,http://commons.wikimedia.org/wiki/Special:FilePath/Secundino%20Esnaola%20Berrondo.png,1878-05-21T00:00:00Z
Secundino Esnaola,orkestra zuzendari,gizonezkoa,Zumarraga,http://commons.wikimedia.org/wiki/Special:FilePath/Secundino%20Esnaola%20Berrondo.png,1878-05-21T00:00:00Z
Secundino Esnaola,musikagile,gizonezkoa,Zumarraga,http://commons.wikimedia.org/wiki/Special:FilePath/Secundino%20Esnaola%20Eskultura%20Donostian.jpg,1878-05-21T00:00:00Z
Secundino Esnaola,orkestra zuzendari,gizonezkoa,Zumarraga,http://commons.wikimedia.org/wiki/Special:FilePath/Secundino%20Esnaola%20Eskultura%20Donostian.jpg,1878-05-21T00:00:00Z
Luis Bandres,politikari,gizonezkoa,Pasaia,http://commons.wikimedia.org/wiki/Special:FilePath/Etxenike%20Bandres%201983%20UEU.jpg,1944-02-18T00:00:00Z
Luis Bandres,katedradun,gizonezkoa,Pasaia,http://commons.wikimedia.org/wiki/Special:FilePath/Etxenike%20Bandres%201983%20UEU.jpg,1944-02-18T00:00:00Z
