itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Maite Esparza,telebista aurkezle,emakumezkoa,Iruñea,,1972-01-01T00:00:00Z
Maite Esparza,kazetari,emakumezkoa,Iruñea,,1972-01-01T00:00:00Z
Manuel Huarte,opera abeslari,gizonezkoa,Iruñea,,1861-01-01T00:00:00Z
Manuel Iribarren,idazle,gizonezkoa,Iruñea,,1902-12-01T00:00:00Z
Marcelino Beroiz Lazcano,historialari,gizonezkoa,Iruñea,,1974-01-26T00:00:00Z
Mari Carmen Rubio,arkulari,emakumezkoa,Iruñea,,1961-09-17T00:00:00Z
Maria Luisa Mangado,politikari,emakumezkoa,Iruñea,,1947-01-01T00:00:00Z
Martin Lipuzkoa,musikari,gizonezkoa,Iruñea,,1901-11-12T00:00:00Z
Martin Zalba (musikaria),musikagile,gizonezkoa,Iruñea,,1958-11-26T00:00:00Z
Martin Zalba (musikaria),piano-jotzaile,gizonezkoa,Iruñea,,1958-11-26T00:00:00Z
Martxelo Sotes,gidoilari,gizonezkoa,Iruñea,,1975-05-14T00:00:00Z
Martxelo Sotes,katedradun,gizonezkoa,Iruñea,,1975-05-14T00:00:00Z
Martxelo Sotes,telebista aurkezle,gizonezkoa,Iruñea,,1975-05-14T00:00:00Z
María Victoria Arraiza,politikari,emakumezkoa,Iruñea,,1962-10-01T00:00:00Z
María Victoria Arraiza,katedradun,emakumezkoa,Iruñea,,1962-10-01T00:00:00Z
Migel Periz de Legaria,apaiz katoliko,gizonezkoa,Iruñea,,1245-01-01T00:00:00Z
Miguel Angel Etxauri,margolari,gizonezkoa,Iruñea,,1927-09-23T00:00:00Z
Miguel Astrain,musikagile,gizonezkoa,Iruñea,,1850-05-08T00:00:00Z
Miguel Astrain,musikari,gizonezkoa,Iruñea,,1850-05-08T00:00:00Z
Miguel Astrain,musika-irakasle,gizonezkoa,Iruñea,,1850-05-08T00:00:00Z
Miguel Munarriz,aktore,gizonezkoa,Iruñea,,1957-05-07T00:00:00Z
Mikel Alvira,idazle,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Alvira.jpg,1969-01-01T00:00:00Z
Mikel Uriz,saskibaloi jokalari,gizonezkoa,Iruñea,,1989-07-19T00:00:00Z
Miren Egaña Deskarga,politikari,emakumezkoa,Iruñea,,1957-09-14T00:00:00Z
Mirentxu Loiarte,zinema zuzendari,emakumezkoa,Iruñea,,1938-01-01T00:00:00Z
Pablo Sanz,gudari,gizonezkoa,Iruñea,,1801-06-07T00:00:00Z
Francisco Javier Girón,gudari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Javier%20Gir%C3%B3n%20y%20Ezpeleta%20Duque%20de%20Ahumada.jpg,1803-03-11T00:00:00Z
Francisco Javier Girón,politikari,gizonezkoa,Iruñea,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Javier%20Gir%C3%B3n%20y%20Ezpeleta%20Duque%20de%20Ahumada.jpg,1803-03-11T00:00:00Z
José Javier Pomés,abokatu,gizonezkoa,Iruñea,,1952-03-12T00:00:00Z
