itemLabel,jardueraLabel,sexua_edo_generoaLabel,jaiolekuaLabel,irudia,jaiotza_data
Emilio Guinea,pteridologoa,gizonezkoa,Bilbo,,1907-05-13T00:00:00Z
Enrique Allende,enpresaburu,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Enrique%20Allende.jpg,1877-01-01T00:00:00Z
Enrique Allende,politikari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Enrique%20Allende.jpg,1877-01-01T00:00:00Z
Enrique Arias Vega,ekonomialari,gizonezkoa,Bilbo,,1943-01-01T00:00:00Z
Enrique Arias Vega,kazetari,gizonezkoa,Bilbo,,1943-01-01T00:00:00Z
Enrique Epaltza,arkitekto,gizonezkoa,Bilbo,,1860-01-01T00:00:00Z
Fede Castaños,futbol entrenatzaile,gizonezkoa,Bilbo,,1959-01-12T00:00:00Z
Fede Castaños,futbolari,gizonezkoa,Bilbo,,1959-01-12T00:00:00Z
Federico Gutiérrez-Solana,ingeniari,gizonezkoa,Bilbo,,1953-02-11T00:00:00Z
Federico Gutiérrez-Solana,unibertsitateko irakasle,gizonezkoa,Bilbo,,1953-02-11T00:00:00Z
Federico Landrove López,politikari,gizonezkoa,Bilbo,,1909-04-09T00:00:00Z
Federico Landrove López,legelari,gizonezkoa,Bilbo,,1909-04-09T00:00:00Z
Federico Landrove López,unibertsitateko irakasle,gizonezkoa,Bilbo,,1909-04-09T00:00:00Z
Joan Zorrotzakoa,monje,gizonezkoa,Bilbo,,1410-01-01T00:00:00Z
Félix Padín,sindikalista,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Padin%20Albertian.JPG,1916-07-09T00:00:00Z
Ignacio Salas,kazetari,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/13.Juan%20Ram%C3%B3n%20Plana%20presentando%20los%20I%20Premios%20Eficacia%202001%2C%20con%20Juan%20Jos%C3%A9%20G%C3%B3mez%20Lagares%20e%20Ignacio%20Salas%20%28cropped%29.jpg,1945-12-18T00:00:00Z
Ignacio Salas,aurkezle,gizonezkoa,Bilbo,http://commons.wikimedia.org/wiki/Special:FilePath/13.Juan%20Ram%C3%B3n%20Plana%20presentando%20los%20I%20Premios%20Eficacia%202001%2C%20con%20Juan%20Jos%C3%A9%20G%C3%B3mez%20Lagares%20e%20Ignacio%20Salas%20%28cropped%29.jpg,1945-12-18T00:00:00Z
